model_name,arch,init,protocol,init_mode,epoch_variant,dependency_model_name,threat_norm,threat_eps,priority,notes,model,model.experiment_name,model.experiment_num,model.v1_noise_mode,model.compile_model,output_dir,training.epochs,training.batch_size,attacks.advtrain,attacks.attack_criterion,attacks.attack_norm,attacks.attack_domain,attacks.attack_eps,attacks.v1_attack_eps,attacks.gradnorm,attacks.gradnorm_penalty_norm,dataset.dvd.enabled,dataset.dvd.variant,continuation.enabled,continuation.use_ema,checkpointing.save_best_adv,epsilon_schedule.enabled,epsilon_schedule.type,epsilon_schedule.source_epsilon,epsilon_schedule.target_epsilon,epsilon_schedule.warmup_epochs,epsilon_schedule.ramp_start_epoch,epsilon_schedule.ramp_end_epoch,epsilon_schedule.fixed_start_epoch
convnext_base_dvd_b_l2trades_cont8to12_init0_resetepoch,convnext_base,0,trades,continuation,resetepoch,convnext_base_dvd_b_l2trades_cont4to8_init0_resetepoch,l2,12,79,cont 8->12 from convnext_base_dvd_b_l2trades_cont4to8_init0_resetepoch (continuation),convnext_base,convnext_base_dvd_b_l2trades_cont8to12_init0_resetepoch,0,,,results/models,50,256,True,trades,l2,,12,,,,true,dvd-b,true,true,true,true,warmup_ramp_fixed,8,12,4,5,35,36
convnext_base_dvd_b_l2trades_cont4to6_init0_contepoch,convnext_base,0,trades,resume,contepoch,convnext_base_dvd_b_l2trades_4_init0,l2,6,80,cont 4->6 from convnext_base_dvd_b_l2trades_4_init0 (resume),convnext_base,convnext_base_dvd_b_l2trades_cont4to6_init0_contepoch,0,,,results/models,240,256,True,trades,l2,,6,,,,true,dvd-b,,true,true,true,warmup_ramp_fixed,4,6,204,205,225,226
convnext_base_dvd_b_l2trades_cont4to8_init0_contepoch,convnext_base,0,trades,resume,contepoch,convnext_base_dvd_b_l2trades_4_init0,l2,8,81,cont 4->8 from convnext_base_dvd_b_l2trades_4_init0 (resume),convnext_base,convnext_base_dvd_b_l2trades_cont4to8_init0_contepoch,0,,,results/models,240,256,True,trades,l2,,8,,,,true,dvd-b,,true,true,true,warmup_ramp_fixed,4,8,204,205,225,226
convnext_base_dvd_b_l2trades_cont8to12_init0_contepoch,convnext_base,0,trades,resume,contepoch,convnext_base_dvd_b_l2trades_cont4to8_init0_contepoch,l2,12,82,cont 8->12 from convnext_base_dvd_b_l2trades_cont4to8_init0_contepoch (resume),convnext_base,convnext_base_dvd_b_l2trades_cont8to12_init0_contepoch,0,,,results/models,290,256,True,trades,l2,,12,,,,true,dvd-b,,true,true,true,warmup_ramp_fixed,8,12,244,245,275,276
convnext_base_dvd_b_linftrades_1_init0,convnext_base,0,trades,scratch,,,linf,1,83,trades+dvd_b linf eps1 scratch,convnext_base,convnext_base_dvd_b_linftrades_1_init0,0,,,results/models,200,256,True,trades,linf,,1,,,,true,dvd-b,,,true,,,,,,,,
convnext_base_dvd_b_linftrades_2_init0,convnext_base,0,trades,scratch,,,linf,2,84,trades+dvd_b linf eps2 scratch,convnext_base,convnext_base_dvd_b_linftrades_2_init0,0,,,results/models,200,256,True,trades,linf,,2,,,,true,dvd-b,,,true,,,,,,,,
convnext_base_dvd_b_linftrades_4_init0,convnext_base,0,trades,scratch,,,linf,4,85,trades+dvd_b linf eps4 scratch,convnext_base,convnext_base_dvd_b_linftrades_4_init0,0,,,results/models,200,256,True,trades,linf,,4,,,,true,dvd-b,,,true,,,,,,,,
convnext_base_dvd_b_linftrades_cont4to6_init0_resetepoch,convnext_base,0,trades,continuation,resetepoch,convnext_base_dvd_b_linftrades_4_init0,linf,6,86,cont 4->6 from convnext_base_dvd_b_linftrades_4_init0 (continuation),convnext_base,convnext_base_dvd_b_linftrades_cont4to6_init0_resetepoch,0,,,results/models,40,256,True,trades,linf,,6,,,,true,dvd-b,true,true,true,true,warmup_ramp_fixed,4,6,4,5,25,26
convnext_base_dvd_b_linftrades_cont4to8_init0_resetepoch,convnext_base,0,trades,continuation,resetepoch,convnext_base_dvd_b_linftrades_4_init0,linf,8,87,cont 4->8 from convnext_base_dvd_b_linftrades_4_init0 (continuation),convnext_base,convnext_base_dvd_b_linftrades_cont4to8_init0_resetepoch,0,,,results/models,40,256,True,trades,linf,,8,,,,true,dvd-b,true,true,true,true,warmup_ramp_fixed,4,8,4,5,25,26
convnext_base_dvd_b_linftrades_cont8to12_init0_resetepoch,convnext_base,0,trades,continuation,resetepoch,convnext_base_dvd_b_linftrades_cont4to8_init0_resetepoch,linf,12,88,cont 8->12 from convnext_base_dvd_b_linftrades_cont4to8_init0_resetepoch (continuation),convnext_base,convnext_base_dvd_b_linftrades_cont8to12_init0_resetepoch,0,,,results/models,50,256,True,trades,linf,,12,,,,true,dvd-b,true,true,true,true,warmup_ramp_fixed,8,12,4,5,35,36
convnext_base_dvd_b_linftrades_cont4to6_init0_contepoch,convnext_base,0,trades,resume,contepoch,convnext_base_dvd_b_linftrades_4_init0,linf,6,89,cont 4->6 from convnext_base_dvd_b_linftrades_4_init0 (resume),convnext_base,convnext_base_dvd_b_linftrades_cont4to6_init0_contepoch,0,,,results/models,240,256,True,trades,linf,,6,,,,true,dvd-b,,true,true,true,warmup_ramp_fixed,4,6,204,205,225,226
convnext_base_dvd_b_linftrades_cont4to8_init0_contepoch,convnext_base,0,trades,resume,contepoch,convnext_base_dvd_b_linftrades_4_init0,linf,8,90,cont 4->8 from convnext_base_dvd_b_linftrades_4_init0 (resume),convnext_base,convnext_base_dvd_b_linftrades_cont4to8_init0_contepoch,0,,,results/models,240,256,True,trades,linf,,8,,,,true,dvd-b,,true,true,true,warmup_ramp_fixed,4,8,204,205,225,226
convnext_base_dvd_b_linftrades_cont8to12_init0_contepoch,convnext_base,0,trades,resume,contepoch,convnext_base_dvd_b_linftrades_cont4to8_init0_contepoch,linf,12,91,cont 8->12 from convnext_base_dvd_b_linftrades_cont4to8_init0_contepoch (resume),convnext_base,convnext_base_dvd_b_linftrades_cont8to12_init0_contepoch,0,,,results/models,290,256,True,trades,linf,,12,,,,true,dvd-b,,true,true,true,warmup_ramp_fixed,8,12,244,245,275,276
convnext_base_v1_l2_1_init0,convnext_base,0,v1,scratch,,,l2,1,312,v1 l2 eps1 scratch,convnext_base_v1,convnext_base_v1_l2_1_init0,0,null,,results/models,150,256,True,madry,l2,v1_feature,,1,,,,,,,true,,,,,,,,
convnext_base_v1_l2_2_init0,convnext_base,0,v1,scratch,,,l2,2,313,v1 l2 eps2 scratch,convnext_base_v1,convnext_base_v1_l2_2_init0,0,null,,results/models,150,256,True,madry,l2,v1_feature,,2,,,,,,,true,,,,,,,,
convnext_base_v1_l2_4_init0,convnext_base,0,v1,scratch,,,l2,4,314,v1 l2 eps4 scratch,convnext_base_v1,convnext_base_v1_l2_4_init0,0,null,,results/models,150,256,True,madry,l2,v1_feature,,4,,,,,,,true,,,,,,,,
convnext_base_v1_l2_cont4to6_init0,convnext_base,0,v1,continuation,,convnext_base_v1_l2_4_init0,l2,6,315,v1 cont 4->6 from convnext_base_v1_l2_4_init0,convnext_base_v1,convnext_base_v1_l2_cont4to6_init0,0,null,,results/models,40,256,True,madry,l2,v1_feature,,6,,,,,true,true,true,true,warmup_ramp_fixed,4,6,4,5,25,26
convnext_base_v1_l2_cont4to8_init0,convnext_base,0,v1,continuation,,convnext_base_v1_l2_4_init0,l2,8,316,v1 cont 4->8 from convnext_base_v1_l2_4_init0,convnext_base_v1,convnext_base_v1_l2_cont4to8_init0,0,null,,results/models,40,256,True,madry,l2,v1_feature,,8,,,,,true,true,true,true,warmup_ramp_fixed,4,8,4,5,25,26
convnext_base_v1_l2_cont8to12_init0,convnext_base,0,v1,continuation,,convnext_base_v1_l2_cont4to8_init0,l2,12,317,v1 cont 8->12 from convnext_base_v1_l2_cont4to8_init0,convnext_base_v1,convnext_base_v1_l2_cont8to12_init0,0,null,,results/models,50,256,True,madry,l2,v1_feature,,12,,,,,true,true,true,true,warmup_ramp_fixed,8,12,4,5,35,36
convnext_base_gradnorm_l1_1_init0,convnext_base,0,gradnorm,resume,,convnext_base_baseline_init0,linf,1,98,gradnorm l1 eps1 resume from convnext_base_baseline_init0 (150->200),convnext_base,convnext_base_gradnorm_l1_1_init0,0,,,results/models,200,256,,,,,1,,True,l1,,,,,true,,,,,,,,
convnext_base_gradnorm_l1_2_init0,convnext_base,0,gradnorm,resume,,convnext_base_baseline_init0,linf,2,99,gradnorm l1 eps2 resume from convnext_base_baseline_init0 (150->200),convnext_base,convnext_base_gradnorm_l1_2_init0,0,,,results/models,200,256,,,,,2,,True,l1,,,,,true,,,,,,,,
convnext_base_gradnorm_l1_4_init0,convnext_base,0,gradnorm,resume,,convnext_base_baseline_init0,linf,4,100,gradnorm l1 eps4 resume from convnext_base_baseline_init0 (150->200),convnext_base,convnext_base_gradnorm_l1_4_init0,0,,,results/models,200,256,,,,,4,,True,l1,,,,,true,,,,,,,,
convnext_base_gradnorm_l1_6_init0,convnext_base,0,gradnorm,resume,,convnext_base_baseline_init0,linf,6,101,gradnorm l1 eps6 resume from convnext_base_baseline_init0 (150->200),convnext_base,convnext_base_gradnorm_l1_6_init0,0,,,results/models,200,256,,,,,6,,True,l1,,,,,true,,,,,,,,
convnext_base_gradnorm_l1_8_init0,convnext_base,0,gradnorm,resume,,convnext_base_baseline_init0,linf,8,102,gradnorm l1 eps8 resume from convnext_base_baseline_init0 (150->200),convnext_base,convnext_base_gradnorm_l1_8_init0,0,,,results/models,200,256,,,,,8,,True,l1,,,,,true,,,,,,,,
convnext_base_gradnorm_l1_12_init0,convnext_base,0,gradnorm,resume,,convnext_base_baseline_init0,linf,12,103,gradnorm l1 eps12 resume from convnext_base_baseline_init0 (150->200),convnext_base,convnext_base_gradnorm_l1_12_init0,0,,,results/models,200,256,,,,,12,,True,l1,,,,,true,,,,,,,,
convnext_base_baseline_init1,convnext_base,1,baseline,scratch,,,,,104,clean baseline (no adv),convnext_base,convnext_base_baseline_init1,1,,,results/models,150,512,False,,,,,,,,,,,,,,,,,,,,
convnext_base_dvd_b_baseline_init1,convnext_base,1,dvd_b_baseline,scratch,,,,,105,"DVD-B augmentation, no adv",convnext_base,convnext_base_dvd_b_baseline_init1,1,,,results/models,200,512,False,,,,,,,,true,dvd-b,,,,,,,,,,,
convnext_base_l1_1_init1,convnext_base,1,madry,scratch,,,l1,1,106,madry l1 eps1 scratch,convnext_base,convnext_base_l1_1_init1,1,,True,results/models,150,512,True,madry,l1,,1,,,,,,,,true,,,,,,,,
convnext_base_l1_2_init1,convnext_base,1,madry,scratch,,,l1,2,107,madry l1 eps2 scratch,convnext_base,convnext_base_l1_2_init1,1,,True,results/models,150,512,True,madry,l1,,2,,,,,,,,true,,,,,,,,
convnext_base_l1_4_init1,convnext_base,1,madry,scratch,,,l1,4,108,madry l1 eps4 scratch,convnext_base,convnext_base_l1_4_init1,1,,True,results/models,150,512,True,madry,l1,,4,,,,,,,,true,,,,,,,,
convnext_base_l1_cont4to6_init1,convnext_base,1,madry,continuation,,convnext_base_l1_4_init1,l1,6,109,cont 4->6 from convnext_base_l1_4_init1 (continuation),convnext_base,convnext_base_l1_cont4to6_init1,1,,True,results/models,40,512,True,madry,l1,,6,,,,,,true,true,true,true,warmup_ramp_fixed,4,6,4,5,25,26
convnext_base_l1_cont4to8_init1,convnext_base,1,madry,continuation,,convnext_base_l1_4_init1,l1,8,110,cont 4->8 from convnext_base_l1_4_init1 (continuation),convnext_base,convnext_base_l1_cont4to8_init1,1,,True,results/models,40,512,True,madry,l1,,8,,,,,,true,true,true,true,warmup_ramp_fixed,4,8,4,5,25,26
convnext_base_l1_cont8to12_init1,convnext_base,1,madry,continuation,,convnext_base_l1_cont4to8_init1,l1,12,111,cont 8->12 from convnext_base_l1_cont4to8_init1 (continuation),convnext_base,convnext_base_l1_cont8to12_init1,1,,True,results/models,50,512,True,madry,l1,,12,,,,,,true,true,true,true,warmup_ramp_fixed,8,12,4,5,35,36
convnext_base_l2_1_init1,convnext_base,1,madry,scratch,,,l2,1,112,madry l2 eps1 scratch,convnext_base,convnext_base_l2_1_init1,1,,True,results/models,150,512,True,madry,l2,,1,,,,,,,,true,,,,,,,,
convnext_base_l2_2_init1,convnext_base,1,madry,scratch,,,l2,2,113,madry l2 eps2 scratch,convnext_base,convnext_base_l2_2_init1,1,,True,results/models,150,512,True,madry,l2,,2,,,,,,,,true,,,,,,,,
convnext_base_l2_4_init1,convnext_base,1,madry,scratch,,,l2,4,114,madry l2 eps4 scratch,convnext_base,convnext_base_l2_4_init1,1,,True,results/models,150,512,True,madry,l2,,4,,,,,,,,true,,,,,,,,
convnext_base_l2_cont4to6_init1,convnext_base,1,madry,continuation,,convnext_base_l2_4_init1,l2,6,115,cont 4->6 from convnext_base_l2_4_init1 (continuation),convnext_base,convnext_base_l2_cont4to6_init1,1,,True,results/models,40,512,True,madry,l2,,6,,,,,,true,true,true,true,warmup_ramp_fixed,4,6,4,5,25,26
convnext_base_l2_cont4to8_init1,convnext_base,1,madry,continuation,,convnext_base_l2_4_init1,l2,8,116,cont 4->8 from convnext_base_l2_4_init1 (continuation),convnext_base,convnext_base_l2_cont4to8_init1,1,,True,results/models,40,512,True,madry,l2,,8,,,,,,true,true,true,true,warmup_ramp_fixed,4,8,4,5,25,26
convnext_base_l2_cont8to12_init1,convnext_base,1,madry,continuation,,convnext_base_l2_cont4to8_init1,l2,12,117,cont 8->12 from convnext_base_l2_cont4to8_init1 (continuation),convnext_base,convnext_base_l2_cont8to12_init1,1,,True,results/models,50,512,True,madry,l2,,12,,,,,,true,true,true,true,warmup_ramp_fixed,8,12,4,5,35,36
convnext_base_linf_1_init1,convnext_base,1,madry,scratch,,,linf,1,118,madry linf eps1 scratch,convnext_base,convnext_base_linf_1_init1,1,,True,results/models,150,512,True,madry,linf,,1,,,,,,,,true,,,,,,,,
convnext_base_linf_2_init1,convnext_base,1,madry,scratch,,,linf,2,119,madry linf eps2 scratch,convnext_base,convnext_base_linf_2_init1,1,,True,results/models,150,512,True,madry,linf,,2,,,,,,,,true,,,,,,,,
convnext_base_linf_4_init1,convnext_base,1,madry,scratch,,,linf,4,120,madry linf eps4 scratch,convnext_base,convnext_base_linf_4_init1,1,,True,results/models,150,512,True,madry,linf,,4,,,,,,,,true,,,,,,,,
convnext_base_linf_cont4to6_init1,convnext_base,1,madry,continuation,,convnext_base_linf_4_init1,linf,6,121,cont 4->6 from convnext_base_linf_4_init1 (continuation),convnext_base,convnext_base_linf_cont4to6_init1,1,,True,results/models,40,512,True,madry,linf,,6,,,,,,true,true,true,true,warmup_ramp_fixed,4,6,4,5,25,26
convnext_base_linf_cont4to8_init1,convnext_base,1,madry,continuation,,convnext_base_linf_4_init1,linf,8,122,cont 4->8 from convnext_base_linf_4_init1 (continuation),convnext_base,convnext_base_linf_cont4to8_init1,1,,True,results/models,40,512,True,madry,linf,,8,,,,,,true,true,true,true,warmup_ramp_fixed,4,8,4,5,25,26
convnext_base_linf_cont8to12_init1,convnext_base,1,madry,continuation,,convnext_base_linf_cont4to8_init1,linf,12,123,cont 8->12 from convnext_base_linf_cont4to8_init1 (continuation),convnext_base,convnext_base_linf_cont8to12_init1,1,,True,results/models,50,512,True,madry,linf,,12,,,,,,true,true,true,true,warmup_ramp_fixed,8,12,4,5,35,36
convnext_base_l1trades_1_init1,convnext_base,1,trades,scratch,,,l1,1,124,trades l1 eps1 scratch,convnext_base,convnext_base_l1trades_1_init1,1,,,results/models,150,256,True,trades,l1,,1,,,,,,,,true,,,,,,,,
convnext_base_l1trades_2_init1,convnext_base,1,trades,scratch,,,l1,2,125,trades l1 eps2 scratch,convnext_base,convnext_base_l1trades_2_init1,1,,,results/models,150,256,True,trades,l1,,2,,,,,,,,true,,,,,,,,
convnext_base_l1trades_4_init1,convnext_base,1,trades,scratch,,,l1,4,126,trades l1 eps4 scratch,convnext_base,convnext_base_l1trades_4_init1,1,,,results/models,150,256,True,trades,l1,,4,,,,,,,,true,,,,,,,,
convnext_base_l1trades_cont4to6_init1,convnext_base,1,trades,continuation,,convnext_base_l1trades_4_init1,l1,6,127,cont 4->6 from convnext_base_l1trades_4_init1 (continuation),convnext_base,convnext_base_l1trades_cont4to6_init1,1,,,results/models,40,256,True,trades,l1,,6,,,,,,true,true,true,true,warmup_ramp_fixed,4,6,4,5,25,26
convnext_base_l1trades_cont4to8_init1,convnext_base,1,trades,continuation,,convnext_base_l1trades_4_init1,l1,8,128,cont 4->8 from convnext_base_l1trades_4_init1 (continuation),convnext_base,convnext_base_l1trades_cont4to8_init1,1,,,results/models,40,256,True,trades,l1,,8,,,,,,true,true,true,true,warmup_ramp_fixed,4,8,4,5,25,26
convnext_base_l1trades_cont8to12_init1,convnext_base,1,trades,continuation,,convnext_base_l1trades_cont4to8_init1,l1,12,129,cont 8->12 from convnext_base_l1trades_cont4to8_init1 (continuation),convnext_base,convnext_base_l1trades_cont8to12_init1,1,,,results/models,50,256,True,trades,l1,,12,,,,,,true,true,true,true,warmup_ramp_fixed,8,12,4,5,35,36
convnext_base_l2trades_1_init1,convnext_base,1,trades,scratch,,,l2,1,130,trades l2 eps1 scratch,convnext_base,convnext_base_l2trades_1_init1,1,,,results/models,150,256,True,trades,l2,,1,,,,,,,,true,,,,,,,,
convnext_base_l2trades_2_init1,convnext_base,1,trades,scratch,,,l2,2,131,trades l2 eps2 scratch,convnext_base,convnext_base_l2trades_2_init1,1,,,results/models,150,256,True,trades,l2,,2,,,,,,,,true,,,,,,,,
convnext_base_l2trades_4_init1,convnext_base,1,trades,scratch,,,l2,4,132,trades l2 eps4 scratch,convnext_base,convnext_base_l2trades_4_init1,1,,,results/models,150,256,True,trades,l2,,4,,,,,,,,true,,,,,,,,
convnext_base_l2trades_cont4to6_init1,convnext_base,1,trades,continuation,,convnext_base_l2trades_4_init1,l2,6,133,cont 4->6 from convnext_base_l2trades_4_init1 (continuation),convnext_base,convnext_base_l2trades_cont4to6_init1,1,,,results/models,40,256,True,trades,l2,,6,,,,,,true,true,true,true,warmup_ramp_fixed,4,6,4,5,25,26
convnext_base_l2trades_cont4to8_init1,convnext_base,1,trades,continuation,,convnext_base_l2trades_4_init1,l2,8,134,cont 4->8 from convnext_base_l2trades_4_init1 (continuation),convnext_base,convnext_base_l2trades_cont4to8_init1,1,,,results/models,40,256,True,trades,l2,,8,,,,,,true,true,true,true,warmup_ramp_fixed,4,8,4,5,25,26
convnext_base_l2trades_cont8to12_init1,convnext_base,1,trades,continuation,,convnext_base_l2trades_cont4to8_init1,l2,12,135,cont 8->12 from convnext_base_l2trades_cont4to8_init1 (continuation),convnext_base,convnext_base_l2trades_cont8to12_init1,1,,,results/models,50,256,True,trades,l2,,12,,,,,,true,true,true,true,warmup_ramp_fixed,8,12,4,5,35,36
convnext_base_linftrades_1_init1,convnext_base,1,trades,scratch,,,linf,1,136,trades linf eps1 scratch,convnext_base,convnext_base_linftrades_1_init1,1,,,results/models,150,256,True,trades,linf,,1,,,,,,,,true,,,,,,,,
convnext_base_linftrades_2_init1,convnext_base,1,trades,scratch,,,linf,2,137,trades linf eps2 scratch,convnext_base,convnext_base_linftrades_2_init1,1,,,results/models,150,256,True,trades,linf,,2,,,,,,,,true,,,,,,,,
convnext_base_linftrades_4_init1,convnext_base,1,trades,scratch,,,linf,4,138,trades linf eps4 scratch,convnext_base,convnext_base_linftrades_4_init1,1,,,results/models,150,256,True,trades,linf,,4,,,,,,,,true,,,,,,,,
convnext_base_linftrades_cont4to6_init1,convnext_base,1,trades,continuation,,convnext_base_linftrades_4_init1,linf,6,139,cont 4->6 from convnext_base_linftrades_4_init1 (continuation),convnext_base,convnext_base_linftrades_cont4to6_init1,1,,,results/models,40,256,True,trades,linf,,6,,,,,,true,true,true,true,warmup_ramp_fixed,4,6,4,5,25,26
convnext_base_linftrades_cont4to8_init1,convnext_base,1,trades,continuation,,convnext_base_linftrades_4_init1,linf,8,140,cont 4->8 from convnext_base_linftrades_4_init1 (continuation),convnext_base,convnext_base_linftrades_cont4to8_init1,1,,,results/models,40,256,True,trades,linf,,8,,,,,,true,true,true,true,warmup_ramp_fixed,4,8,4,5,25,26
convnext_base_linftrades_cont8to12_init1,convnext_base,1,trades,continuation,,convnext_base_linftrades_cont4to8_init1,linf,12,141,cont 8->12 from convnext_base_linftrades_cont4to8_init1 (continuation),convnext_base,convnext_base_linftrades_cont8to12_init1,1,,,results/models,50,256,True,trades,linf,,12,,,,,,true,true,true,true,warmup_ramp_fixed,8,12,4,5,35,36
convnext_base_dvd_b_l1_1_init1,convnext_base,1,madry,scratch,,,l1,1,142,madry+dvd_b l1 eps1 scratch,convnext_base,convnext_base_dvd_b_l1_1_init1,1,,True,results/models,200,512,True,madry,l1,,1,,,,true,dvd-b,,,true,,,,,,,,
convnext_base_dvd_b_l1_2_init1,convnext_base,1,madry,scratch,,,l1,2,143,madry+dvd_b l1 eps2 scratch,convnext_base,convnext_base_dvd_b_l1_2_init1,1,,True,results/models,200,512,True,madry,l1,,2,,,,true,dvd-b,,,true,,,,,,,,
convnext_base_dvd_b_l1_4_init1,convnext_base,1,madry,scratch,,,l1,4,144,madry+dvd_b l1 eps4 scratch,convnext_base,convnext_base_dvd_b_l1_4_init1,1,,True,results/models,200,512,True,madry,l1,,4,,,,true,dvd-b,,,true,,,,,,,,
convnext_base_dvd_b_l1_cont4to6_init1_resetepoch,convnext_base,1,madry,continuation,resetepoch,convnext_base_dvd_b_l1_4_init1,l1,6,145,cont 4->6 from convnext_base_dvd_b_l1_4_init1 (continuation),convnext_base,convnext_base_dvd_b_l1_cont4to6_init1_resetepoch,1,,True,results/models,40,512,True,madry,l1,,6,,,,true,dvd-b,true,true,true,true,warmup_ramp_fixed,4,6,4,5,25,26
convnext_base_dvd_b_l1_cont4to8_init1_resetepoch,convnext_base,1,madry,continuation,resetepoch,convnext_base_dvd_b_l1_4_init1,l1,8,146,cont 4->8 from convnext_base_dvd_b_l1_4_init1 (continuation),convnext_base,convnext_base_dvd_b_l1_cont4to8_init1_resetepoch,1,,True,results/models,40,512,True,madry,l1,,8,,,,true,dvd-b,true,true,true,true,warmup_ramp_fixed,4,8,4,5,25,26
convnext_base_dvd_b_l1_cont8to12_init1_resetepoch,convnext_base,1,madry,continuation,resetepoch,convnext_base_dvd_b_l1_cont4to8_init1_resetepoch,l1,12,147,cont 8->12 from convnext_base_dvd_b_l1_cont4to8_init1_resetepoch (continuation),convnext_base,convnext_base_dvd_b_l1_cont8to12_init1_resetepoch,1,,True,results/models,50,512,True,madry,l1,,12,,,,true,dvd-b,true,true,true,true,warmup_ramp_fixed,8,12,4,5,35,36
convnext_base_dvd_b_l1_cont4to6_init1_contepoch,convnext_base,1,madry,resume,contepoch,convnext_base_dvd_b_l1_4_init1,l1,6,148,cont 4->6 from convnext_base_dvd_b_l1_4_init1 (resume),convnext_base,convnext_base_dvd_b_l1_cont4to6_init1_contepoch,1,,True,results/models,240,512,True,madry,l1,,6,,,,true,dvd-b,,true,true,true,warmup_ramp_fixed,4,6,204,205,225,226
convnext_base_dvd_b_l1_cont4to8_init1_contepoch,convnext_base,1,madry,resume,contepoch,convnext_base_dvd_b_l1_4_init1,l1,8,149,cont 4->8 from convnext_base_dvd_b_l1_4_init1 (resume),convnext_base,convnext_base_dvd_b_l1_cont4to8_init1_contepoch,1,,True,results/models,240,512,True,madry,l1,,8,,,,true,dvd-b,,true,true,true,warmup_ramp_fixed,4,8,204,205,225,226
convnext_base_dvd_b_l1_cont8to12_init1_contepoch,convnext_base,1,madry,resume,contepoch,convnext_base_dvd_b_l1_cont4to8_init1_contepoch,l1,12,150,cont 8->12 from convnext_base_dvd_b_l1_cont4to8_init1_contepoch (resume),convnext_base,convnext_base_dvd_b_l1_cont8to12_init1_contepoch,1,,True,results/models,290,512,True,madry,l1,,12,,,,true,dvd-b,,true,true,true,warmup_ramp_fixed,8,12,244,245,275,276
convnext_base_dvd_b_l2_1_init1,convnext_base,1,madry,scratch,,,l2,1,151,madry+dvd_b l2 eps1 scratch,convnext_base,convnext_base_dvd_b_l2_1_init1,1,,True,results/models,200,512,True,madry,l2,,1,,,,true,dvd-b,,,true,,,,,,,,
convnext_base_dvd_b_l2_2_init1,convnext_base,1,madry,scratch,,,l2,2,152,madry+dvd_b l2 eps2 scratch,convnext_base,convnext_base_dvd_b_l2_2_init1,1,,True,results/models,200,512,True,madry,l2,,2,,,,true,dvd-b,,,true,,,,,,,,
convnext_base_dvd_b_l2_4_init1,convnext_base,1,madry,scratch,,,l2,4,153,madry+dvd_b l2 eps4 scratch,convnext_base,convnext_base_dvd_b_l2_4_init1,1,,True,results/models,200,512,True,madry,l2,,4,,,,true,dvd-b,,,true,,,,,,,,
convnext_base_dvd_b_l2_cont4to6_init1_resetepoch,convnext_base,1,madry,continuation,resetepoch,convnext_base_dvd_b_l2_4_init1,l2,6,154,cont 4->6 from convnext_base_dvd_b_l2_4_init1 (continuation),convnext_base,convnext_base_dvd_b_l2_cont4to6_init1_resetepoch,1,,True,results/models,40,512,True,madry,l2,,6,,,,true,dvd-b,true,true,true,true,warmup_ramp_fixed,4,6,4,5,25,26
convnext_base_dvd_b_l2_cont4to8_init1_resetepoch,convnext_base,1,madry,continuation,resetepoch,convnext_base_dvd_b_l2_4_init1,l2,8,155,cont 4->8 from convnext_base_dvd_b_l2_4_init1 (continuation),convnext_base,convnext_base_dvd_b_l2_cont4to8_init1_resetepoch,1,,True,results/models,40,512,True,madry,l2,,8,,,,true,dvd-b,true,true,true,true,warmup_ramp_fixed,4,8,4,5,25,26
convnext_base_dvd_b_l2_cont8to12_init1_resetepoch,convnext_base,1,madry,continuation,resetepoch,convnext_base_dvd_b_l2_cont4to8_init1_resetepoch,l2,12,156,cont 8->12 from convnext_base_dvd_b_l2_cont4to8_init1_resetepoch (continuation),convnext_base,convnext_base_dvd_b_l2_cont8to12_init1_resetepoch,1,,True,results/models,50,512,True,madry,l2,,12,,,,true,dvd-b,true,true,true,true,warmup_ramp_fixed,8,12,4,5,35,36
convnext_base_dvd_b_l2_cont4to6_init1_contepoch,convnext_base,1,madry,resume,contepoch,convnext_base_dvd_b_l2_4_init1,l2,6,157,cont 4->6 from convnext_base_dvd_b_l2_4_init1 (resume),convnext_base,convnext_base_dvd_b_l2_cont4to6_init1_contepoch,1,,True,results/models,240,512,True,madry,l2,,6,,,,true,dvd-b,,true,true,true,warmup_ramp_fixed,4,6,204,205,225,226
convnext_base_dvd_b_l2_cont4to8_init1_contepoch,convnext_base,1,madry,resume,contepoch,convnext_base_dvd_b_l2_4_init1,l2,8,158,cont 4->8 from convnext_base_dvd_b_l2_4_init1 (resume),convnext_base,convnext_base_dvd_b_l2_cont4to8_init1_contepoch,1,,True,results/models,240,512,True,madry,l2,,8,,,,true,dvd-b,,true,true,true,warmup_ramp_fixed,4,8,204,205,225,226
convnext_base_dvd_b_l2_cont8to12_init1_contepoch,convnext_base,1,madry,resume,contepoch,convnext_base_dvd_b_l2_cont4to8_init1_contepoch,l2,12,159,cont 8->12 from convnext_base_dvd_b_l2_cont4to8_init1_contepoch (resume),convnext_base,convnext_base_dvd_b_l2_cont8to12_init1_contepoch,1,,True,results/models,290,512,True,madry,l2,,12,,,,true,dvd-b,,true,true,true,warmup_ramp_fixed,8,12,244,245,275,276
convnext_base_dvd_b_linf_1_init1,convnext_base,1,madry,scratch,,,linf,1,160,madry+dvd_b linf eps1 scratch,convnext_base,convnext_base_dvd_b_linf_1_init1,1,,True,results/models,200,512,True,madry,linf,,1,,,,true,dvd-b,,,true,,,,,,,,
convnext_base_dvd_b_linf_2_init1,convnext_base,1,madry,scratch,,,linf,2,161,madry+dvd_b linf eps2 scratch,convnext_base,convnext_base_dvd_b_linf_2_init1,1,,True,results/models,200,512,True,madry,linf,,2,,,,true,dvd-b,,,true,,,,,,,,
